食物种类,食物名,热量,食物详情页面链接
"蛋类、肉类及制品
  ",螃蟹（河蟹）,热量：103 大卡(每100克),http://www.boohee.com/shiwu/hexie
"蛋类、肉类及制品
  ",黄鱼(小黄花鱼),热量：99 大卡(每100克),http://www.boohee.com/shiwu/huangyu_xiaohuanghuayu
"蛋类、肉类及制品
  ",青鱼,热量：118 大卡(每100克),http://www.boohee.com/shiwu/qingyu
"蛋类、肉类及制品
  ",鸭蛋,热量：180 大卡(每100克),http://www.boohee.com/shiwu/yadan
"蛋类、肉类及制品
  ",猪肉松,热量：396 大卡(每100克),http://www.boohee.com/shiwu/zhurousong_junzhi
"蛋类、肉类及制品
  ",猪肉(里脊),热量：155 大卡(每100克),http://www.boohee.com/shiwu/zhurou_liji
"蛋类、肉类及制品
  ",麦当劳 麦香鱼,热量：253 大卡(每100克),http://www.boohee.com/shiwu/maidanglaomaixiangyu
"蛋类、肉类及制品
  ",猪血,热量：55 大卡(每100克),http://www.boohee.com/shiwu/zhuxue
"蛋类、肉类及制品
  ",虾仁（红）,热量：48 大卡(每100克),http://www.boohee.com/shiwu/xiaren_hong
"蛋类、肉类及制品
  ",猪肉(肋条肉),热量：568 大卡(每100克),http://www.boohee.com/shiwu/zhurou_leitiaorou
"蛋类、肉类及制品
  ",虾皮,热量：153 大卡(每100克),http://www.boohee.com/shiwu/xiapi
"蛋类、肉类及制品
  ",鲤鱼,热量：109 大卡(每100克),http://www.boohee.com/shiwu/liyu
"蛋类、肉类及制品
  ",明虾,热量：85 大卡(每100克),http://www.boohee.com/shiwu/mingxia
"蛋类、肉类及制品
  ",北京烤鸭,热量：436 大卡(每100克),http://www.boohee.com/shiwu/beijingkaoya
"蛋类、肉类及制品
  ",鱼片干,热量：303 大卡(每100克),http://www.boohee.com/shiwu/yupiangan
"蛋类、肉类及制品
  ",鸡爪,热量：254 大卡(每100克),http://www.boohee.com/shiwu/jizhua
"蛋类、肉类及制品
  ",鸡蛋黄,热量：328 大卡(每100克),http://www.boohee.com/shiwu/jidanhuang
"蛋类、肉类及制品
  ",无油煎蛋,热量：164 大卡(每100克),http://www.boohee.com/shiwu/hebaodan_zhu
"蛋类、肉类及制品
  ",叉烧肉,热量：279 大卡(每100克),http://www.boohee.com/shiwu/chashaorou
"蛋类、肉类及制品
  ",广东香肠,热量：433 大卡(每100克),http://www.boohee.com/shiwu/guangdongxiangchang
"蛋类、肉类及制品
  ",肯德基 新奥尔良烤翅,热量：240 大卡(每100克),http://www.boohee.com/shiwu/xinaoerliangjichi_kendeji
"蛋类、肉类及制品
  ",脆皮肠,热量：302 大卡(每100克),http://www.boohee.com/shiwu/cuipichang
